Category: All categories,,,
,,,
Month,insomnia: (Australia),,
2004-01,40,,
2004-02,53,,61.57692308
2004-03,41,,
2004-04,99,,
2004-05,86,,
2004-06,64,,63
2004-07,68,,
2004-08,55,,
2004-09,23,,
2004-10,71,,
2004-11,49,,
2004-12,66,,
2005-01,82,,
2005-02,45,,
2005-03,63,,
2005-04,41,,
2005-05,47,,
2005-06,92,,
2005-07,100,,
2005-08,51,,
2005-09,87,,
2005-10,54,,
2005-11,21,,
2005-12,16,,
2006-01,41,,
2006-02,81,,
2006-03,33,,
2006-04,42,,
2006-05,61,,
2006-06,44,,
2006-07,47,,
2006-08,64,,
2006-09,53,,
2006-10,36,,
2006-11,59,,
2006-12,36,,
2007-01,27,,
2007-02,35,,
2007-03,49,,
2007-04,31,,
2007-05,68,,
2007-06,56,,
2007-07,43,,
2007-08,64,,
2007-09,49,,
2007-10,36,,
2007-11,45,,
2007-12,43,,
2008-01,70,,
2008-02,50,,
2008-03,79,,
2008-04,68,,
2008-05,61,,
2008-06,63,,
2008-07,49,,
2008-08,68,,
2008-09,42,,
2008-10,64,,
2008-11,59,,
2008-12,72,,
2009-01,64,,
2009-02,41,,
2009-03,77,,
2009-04,47,,
2009-05,65,,
2009-06,75,,
2009-07,72,,
2009-08,73,,
2009-09,68,,
2009-10,68,,
2009-11,71,,
2009-12,66,,
2010-01,61,,
2010-02,64,,
2010-03,59,,
2010-04,54,,
2010-05,56,,
2010-06,58,,
2010-07,70,,
2010-08,63,,
2010-09,60,,
2010-10,61,,
2010-11,43,,
2010-12,42,,
2011-01,63,,
2011-02,83,,
2011-03,64,,
2011-04,59,,
2011-05,57,,
2011-06,77,,
2011-07,67,,
2011-08,62,,
2011-09,65,,
2011-10,74,,
2011-11,66,,
2011-12,63,,
2012-01,52,,
2012-02,64,,
2012-03,64,,
2012-04,67,,
2012-05,59,,
2012-06,62,,
2012-07,68,,
2012-08,67,,
2012-09,59,,
2012-10,66,,
2012-11,77,,
2012-12,45,,
2013-01,62,,
2013-02,51,,
2013-03,59,,
2013-04,60,,
2013-05,60,,
2013-06,59,,
2013-07,72,,
2013-08,70,,
2013-09,68,,
2013-10,75,,
2013-11,66,,
2013-12,63,,
2014-01,76,,
2014-02,62,,
2014-03,70,,
2014-04,67,,
2014-05,63,,
2014-06,52,,
2014-07,60,,
2014-08,69,,
2014-09,55,,
2014-10,63,,
2014-11,62,,
2014-12,66,,
2015-01,63,,
2015-02,68,,
2015-03,70,,
2015-04,71,,
2015-05,57,,
2015-06,57,,
2015-07,47,,
2015-08,58,,
2015-09,56,,
2015-10,56,,
2015-11,52,,
2015-12,47,,
2016-01,80,,
2016-02,57,,
2016-03,58,,
2016-04,64,,
2016-05,74,,
2016-06,63,,
2016-07,66,,
2016-08,43,,
2016-09,63,,
2016-10,63,,
2016-11,47,,
2016-12,56,,
2017-01,75,,
2017-02,65,,
2017-03,70,,
2017-04,65,,
2017-05,71,,
2017-06,63,,
2017-07,76,,
2017-08,66,,
2017-09,76,,
2017-10,68,,
2017-11,66,,
2017-12,58,,
2018-01,74,,
2018-02,79,,
2018-03,78,,
2018-04,53,,
2018-05,58,,
2018-06,58,,
2018-07,55,,
2018-08,59,,
2018-09,70,,
2018-10,72,,
2018-11,61,,
2018-12,53,,
2019-01,72,,
2019-02,59,,
2019-03,74,,
2019-04,71,,
2019-05,65,,
2019-06,65,,
2019-07,73,,
2019-08,77,,
2019-09,56,,
2019-10,66,,
2019-11,59,,
2019-12,61,,
2020-01,66,,
2020-02,66,,
2020-03,61,,
2020-04,88,,
2020-05,90,,
2020-06,59,,
2020-07,66,,
2020-08,74,,
2020-09,70,,
2020-10,61,,
2020-11,60,,
2020-12,59,,
2021-01,87,,
2021-02,69,,
2021-03,71,,
2021-04,78,,
